#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Oct 09 18:13:41 EDT 2017,15,15,Assignment3Suite,EfficiencyTest1+ GetMinTest1+ GetMinTest3+ , ,BuildTest1- BuildTest2- BuildTest3- DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EverythingTest- GetMinTest2- InsertTest1- InsertTest2- InsertTest3- SizeTest1- SizeTest2- SizeTest3- SizeTest4- , ,
1,Mon Oct 09 18:19:28 EDT 2017,21,6,Assignment3Suite,EfficiencyTest1 GetMinTest1 GetMinTest2+ GetMinTest3 , ,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
2,Mon Oct 09 18:21:06 EDT 2017,10,-11,Assignment3Suite,EfficiencyTest1 GetMinTest2 , ,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1- GetMinTest3- InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
3,Mon Oct 09 18:25:07 EDT 2017,15,5,Assignment3Suite,EfficiencyTest1 GetMinTest1+ GetMinTest3+ , ,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest2- InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
4,Mon Oct 09 18:35:18 EDT 2017,15,0,Assignment3Suite,BuildTest2+ BuildTest3+ EfficiencyTest1 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1- GetMinTest2 GetMinTest3- InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
5,Mon Oct 09 18:35:52 EDT 2017,15,0,Assignment3Suite,BuildTest2 BuildTest3 EfficiencyTest1 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,
6,Mon Oct 09 18:56:59 EDT 2017,57,42,Assignment3Suite,BuildTest2 DelMinTest3+ EfficiencyTest1 GetMinTest2+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest1+ SizeTest2+ SizeTest3+ SizeTest4+ , ,BuildTest1 BuildTest3- DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 , ,
7,Mon Oct 09 19:53:00 EDT 2017,68,11,Assignment3Suite,BuildTest2 BuildTest3+ DelMinTest3 EfficiencyTest1 GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 , ,
8,Mon Oct 09 19:55:16 EDT 2017,68,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3 EfficiencyTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 , ,
9,Mon Oct 09 21:31:36 EDT 2017,31,-37,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3 EfficiencyTest1 GetMinTest3 SizeTest1 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2- InsertTest1- InsertTest2- InsertTest3- SizeTest2- SizeTest3- SizeTest4- , ,
