#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Sep 09 18:16:37 EDT 2017,82,82,Assignment1Suite,ClearTest0+ ClearTest1+ EverythingTest0+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ RemoveTest0+ RemoveTest1+ RemoveTest3+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,GetTest0- GetTest1- RemoveTest2- , ,
1,Sat Sep 09 18:16:50 EDT 2017,82,0,GetTestSuite,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest0 GetTest1 RemoveTest2 , ,
2,Sat Sep 09 18:16:55 EDT 2017,82,0,GetTestSuite,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest0 GetTest1 RemoveTest2 , ,
3,Sat Sep 09 18:16:59 EDT 2017,82,0,GetTestSuite,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest0 GetTest1 RemoveTest2 , ,
4,Sat Sep 09 18:18:28 EDT 2017,82,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest0 GetTest1 RemoveTest2 , ,
5,Sat Sep 09 18:27:32 EDT 2017,88,6,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest1 RemoveTest2 , ,
6,Sat Sep 09 18:32:03 EDT 2017,94,6,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,RemoveTest2 , ,
7,Sat Sep 09 18:56:49 EDT 2017,82,-12,Assignment1Suite,ClearTest0 ClearTest1 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest2+ RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest0- RemoveTest0- RemoveTest1- , ,
8,Sat Sep 09 19:00:19 EDT 2017,100,18,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0+ GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
9,Sat Sep 09 19:00:47 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
10,Sat Sep 09 19:10:09 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
11,Mon Sep 11 15:59:02 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
12,Mon Sep 11 16:36:38 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
13,Mon Sep 11 16:39:57 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
